secid,date,return
108105,20000308,0.008173
108105,20000309,0.025602
108105,20000310,-0.004723
108105,20000313,-0.008207
108105,20000314,-0.017685
108105,20000315,0.02428
108105,20000316,0.047639
108105,20000317,0.004114
108105,20000320,-0.005353
108105,20000321,0.025566
108105,20000322,0.004532
108105,20000323,0.017799
108105,20000324,0.000072
108105,20000327,-0.002357
108105,20000328,-0.010585
108105,20000329,0.000524
108105,20000330,-0.013656
108105,20000331,0.007164
108105,20000403,0.004931
108105,20000404,-0.007464
108105,20000405,-0.004924
108105,20000406,0.009392
108105,20000407,0.009998
108105,20000410,-0.007841
108105,20000411,-0.002572
108105,20000412,-0.022271
108105,20000413,-0.018171
108105,20000414,-0.058278
108105,20000417,0.033084
108105,20000418,0.028663
108105,20000419,-0.009808
108105,20000420,0.004953
108105,20000424,-0.003262
108105,20000425,0.033276
108105,20000426,-0.011134
108105,20000427,0.00269
108105,20000428,-0.008526
108105,20000501,0.010892
108105,20000502,-0.014957
108105,20000503,-0.021566
108105,20000504,-0.003908
108105,20000505,0.01636
108105,20000508,-0.005905
108105,20000509,-0.008447
108105,20000510,-0.0206
108105,20000511,0.017902
108105,20000512,0.009341
108105,20000515,0.022098
108105,20000516,0.009419
108105,20000517,-0.012442
108105,20000518,-0.007315
108105,20000519,-0.021055
108105,20000522,-0.004428
108105,20000523,-0.019176
108105,20000524,0.018335
108105,20000525,-0.01253
108105,20000526,-0.002533
108105,20000530,0.032242
108105,20000531,-0.001301
108105,20000601,0.019858
108105,20000602,0.019637
108105,20000605,-0.006519
108105,20000606,-0.006671
108105,20000607,0.009274
108105,20000608,-0.006586
108105,20000609,-0.003229
108105,20000612,-0.007516
108105,20000613,0.01621
108105,20000614,0.000749
108105,20000615,0.005569
108105,20000616,-0.00965
108105,20000619,0.014709
108105,20000620,-0.006763
108105,20000621,0.002155
108105,20000622,-0.01822
108105,20000623,-0.007368
108105,20000626,0.009594
108105,20000627,-0.003271
108105,20000628,0.002944
108105,20000629,-0.008544
108105,20000630,0.008465
108105,20000703,0.010271
108105,20000705,-0.015862
108105,20000706,0.007219
108105,20000707,0.015261
108105,20000710,-0.002218
108105,20000711,0.003565
108105,20000712,0.00813
108105,20000713,0.001956
108105,20000714,0.009453
108105,20000717,0.000338
108105,20000718,-0.011089
108105,20000719,-0.007886
108105,20000720,0.009184
108105,20000721,-0.010284
108105,20000724,-0.010742
108105,20000725,0.006952
108105,20000726,-0.014954
108105,20000727,-0.001928
108105,20000728,-0.020509
108105,20000731,0.007705
108105,20000801,0.005081
108105,20000802,0.000417
108105,20000803,0.009634
108105,20000804,0.007139
108105,20000807,0.011203
108105,20000808,0.002353
108105,20000809,-0.006697
108105,20000810,-0.008568
108105,20000811,0.007937
108105,20000814,0.013398
108105,20000815,-0.00478
108105,20000816,-0.003085
108105,20000817,0.010961
108105,20000818,-0.002908
108105,20000821,0.005202
108105,20000822,-0.0009
108105,20000823,0.005233
108105,20000824,0.001554
108105,20000825,-0.001233
108105,20000828,0.005072
108105,20000829,-0.002807
108105,20000830,-0.004802
108105,20000831,0.010043
108105,20000901,0.002036
108105,20000905,-0.009002
108105,20000906,-0.00984
108105,20000907,0.006876
108105,20000908,-0.005331
108105,20000911,-0.003506
108105,20000912,-0.004882
108105,20000913,0.00197
108105,20000914,-0.002721
108105,20000915,-0.01017
108105,20000918,-0.014531
108105,20000919,0.010654
108105,20000920,-0.005863
108105,20000921,-0.001578
108105,20000922,-0.000228
108105,20000925,-0.006689
108105,20000926,-0.008214
108105,20000927,-0.000448
108105,20000928,0.022235
108105,20000929,-0.014935
108105,20001002,-0.000195
108105,20001003,-0.006803
108105,20001004,0.00551
108105,20001005,0.001367
108105,20001006,-0.019001
108105,20001009,-0.00494
108105,20001010,-0.010706
108105,20001011,-0.016171
108105,20001012,-0.025509
108105,20001013,0.033381
108105,20001016,0.000327
108105,20001017,-0.017932
108105,20001018,-0.005808
108105,20001019,0.034743
108105,20001020,0.005883
108105,20001023,-0.000823
108105,20001024,0.001684
108105,20001025,-0.023767
108105,20001026,-0.000337
108105,20001027,0.011096
108105,20001030,0.01383
108105,20001031,0.021978
108105,20001101,-0.005723
108105,20001102,0.004996
108105,20001103,-0.001141
108105,20001106,0.003855
108105,20001107,-0.000223
108105,20001108,-0.015777
108105,20001109,-0.006486
108105,20001110,-0.024398
108105,20001113,-0.010776
108105,20001114,0.023452
108105,20001115,0.00496
108105,20001116,-0.012585
108105,20001117,-0.003352
108105,20001120,-0.018352
108105,20001121,0.003523
108105,20001122,-0.018548
108105,20001124,0.014678
108105,20001127,0.005366
108105,20001128,-0.009548
108105,20001129,0.004356
108105,20001130,-0.020091
108105,20001201,0.000213
108105,20001204,0.007406
108105,20001205,0.038922
108105,20001206,-0.01822
108105,20001207,-0.005853
108105,20001208,0.019605
108105,20001211,0.007526
108105,20001212,-0.006535
108105,20001213,-0.008161
108105,20001214,-0.014015
108105,20001215,-0.021463
108105,20001218,0.008071
108105,20001219,-0.012958
108105,20001220,-0.031296
108105,20001221,0.008002
108105,20001222,0.024403
108105,20001226,0.00706
108105,20001227,0.01044
108105,20001228,0.003988
108105,20001229,-0.010448
